<<<<<<< HEAD
SnappedTime,Avg Right X,Avg Right Y,Avg Left X,Avg Left Y
0.0,,,,
20.0,786.7157,455.0786,,
160.0,496.1006,487.75,,
180.0,478.9374,500.4999,,
200.0,460.1895,528.5383,,
220.0,447.414,529.4877,,
240.0,439.0786,526.0634,,
260.0,444.755,523.6902,,
280.0,442.4595,526.4346,,
300.0,442.1558,540.9386,,
320.0,445.8613,522.6325,,
340.0,441.9841,527.6762,,
360.0,440.3098,539.9141,,
380.0,440.1344,539.3275,,
400.0,437.5271,529.977,,
420.0,436.9248,530.4255,,
440.0,437.3437,531.0974,,
460.0,547.8974,527.7387,,
480.0,626.9913,500.1542,,
500.0,637.4016,485.1556,,
520.0,640.7399,464.6466,,
540.0,635.962,475.438,,
560.0,637.7246,481.1767,,
580.0,637.5446,488.8292,,
600.0,639.5747,483.6146,,
1040.0,644.8545,702.6105,,
1060.0,647.7697,715.5962,,
1080.0,642.5719,721.7392,,
1100.0,656.1482,711.8034,,
1120.0,653.3929,707.8305,,
1140.0,656.3483,703.9827,,
1160.0,652.7432,697.009,,
1180.0,655.8825,704.4774,,
1200.0,658.7864,693.2287,,
1220.0,651.0384,694.8896,,
1240.0,655.1843,702.7045,,
1260.0,649.9816,692.1836,,
1280.0,653.3848,708.251,,
1300.0,649.7915,693.9803,,
1320.0,656.3183,692.4185,,
1340.0,653.0703,685.2964,,
1360.0,677.8245,704.3141,,
1380.0,926.5788,923.5663,,
1400.0,1110.9248,1045.2777,,
1420.0,1171.9626,1050.6932,,
1440.0,1162.7956,1050.9716,,
1460.0,1155.4123,1051.7473,,
1480.0,1149.4855,1051.0473,,
1500.0,1158.3924,1050.3182,,
1520.0,1155.3758,1048.881,,
1540.0,1153.0846,1049.0857,,
1560.0,1154.4308,1048.6976,,
1580.0,1154.5004,1049.2673,,
1600.0,1151.738,1051.6895,,
1620.0,1156.5579,1050.2986,,
1640.0,1160.0064,1043.638,,
1660.0,1162.2569,1038.6423,,
1680.0,1164.1807,1039.8411,,
1700.0,1165.9883,1030.8623,,
1720.0,1166.9799,1032.5886,,
1740.0,1171.0622,1034.5642,,
1760.0,1162.9506,1012.7626,,
1780.0,903.3379,684.2407,,
1800.0,697.3474,511.6826,,
1820.0,686.5048,483.6233,,
1840.0,685.8176,520.6342,,
1860.0,681.0351,509.6632,,
1880.0,672.8419,509.2135,,
1900.0,671.9986,513.6851,,
1920.0,671.1636,507.8175,,
1940.0,668.5832,513.0849,,
1960.0,664.992,508.069,,
1980.0,662.3197,516.1756,,
2000.0,664.6306,512.0282,,
2020.0,664.061,516.8082,,
2040.0,818.3821,546.8459,,
2060.0,822.1225,579.7165,,
2080.0,827.6785,579.6542,,
2100.0,823.7893,583.4929,,
2120.0,818.4526,608.0211,,
2140.0,818.2548,585.0624,,
2160.0,818.006,595.1023,,
2180.0,819.1316,601.7152,,
2200.0,819.2012,596.9308,,
2220.0,813.8533,613.1128,,
2240.0,814.4636,591.6539,,
2260.0,816.8921,602.3375,,
2280.0,813.8503,593.4052,,
2300.0,816.9765,591.1963,,
2320.0,972.7378,593.3349,,
2340.0,1002.158,599.9169,,
2360.0,1018.6118,589.1049,,
2380.0,1006.4702,587.8148,,
2400.0,991.9743,703.9139,,
2420.0,1009.8299,585.953,,
2440.0,1010.8992,586.8704,,
2460.0,1004.3008,593.185,,
2480.0,1006.9867,586.1955,,
2500.0,1012.5625,583.9588,,
